NGO;Score;Comm;Audit
Church of Sweden;3.1;1;Mid
Church of Sweden;3;2;Mid
Church of Sweden;3;3;Mid
Church of Sweden;2.7;4;Mid
Church of Sweden;2.4;5;Mid
Church of Sweden;3.5;6;Mid
Church of Sweden;4.5;7;Mid
Church of Sweden;3;8;Mid
Church of Sweden;3.3;9;Mid
Church of Sweden;3;1;Initial
Church of Sweden;2.7;2;Initial
Church of Sweden;2.8;3;Initial
Church of Sweden;2;4;Initial
Church of Sweden;2.1;5;Initial
Church of Sweden;3.5;6;Initial
Church of Sweden;3;7;Initial
Church of Sweden;2.5;8;Initial
Church of Sweden;3.3;9;Initial
Tearfund;2.1;1;Mid
Tearfund;2;2;Mid
Tearfund;3;3;Mid
Tearfund;2.4;4;Mid
Tearfund;1.8;5;Mid
Tearfund;3.1;6;Mid
Tearfund;2.5;7;Mid
Tearfund;2.2;8;Mid
Tearfund;2.7;9;Mid
Tearfund;3;1;Initial
Tearfund;2;2;Initial
Tearfund;3;3;Initial
Tearfund;3;4;Initial
Tearfund;2;5;Initial
Tearfund;4;6;Initial
Tearfund;3;7;Initial
Tearfund;3;8;Initial
Tearfund;2;9;Initial
Naba'a;3;1;Mid
Naba'a;3;2;Mid
Naba'a;3;3;Mid
Naba'a;3.1;4;Mid
Naba'a;2.7;5;Mid
Naba'a;4;6;Mid
Naba'a;3.2;7;Mid
Naba'a;2.7;8;Mid
Naba'a;2.5;9;Mid
Naba'a;3;1;Initial
Naba'a;3;2;Initial
Naba'a;3;3;Initial
Naba'a;3;4;Initial
Naba'a;3;5;Initial
Naba'a;4;6;Initial
Naba'a;3;7;Initial
Naba'a;3;8;Initial
Naba'a;3;9;Initial
